timestamp,WS10m_ERA5_ms,WS50m_ERA5_ms,WS50m_MERRA2_ms,cf_wind_MERRA2
2020-01-10 22:00:00,4.07,4.937087334672606,4.586,0.073
2020-01-10 23:00:00,3.38,4.100087270563491,4.222,0.055
2020-01-11 00:00:00,2.55,3.0932611064902074,4.008,0.045
2020-01-11 01:00:00,1.79,2.1713479923990087,3.953,0.043
2020-01-11 02:00:00,1.1,1.3343479282898936,3.935,0.042
2020-01-11 03:00:00,1.1,1.3343479282898936,3.902,0.041
2020-01-11 04:00:00,2.83,3.432913306418544,3.842,0.039
2020-01-11 05:00:00,4.21,5.106913434636774,3.782,0.036
2020-01-11 06:00:00,4.62,5.604261298817552,3.682,0.033
2020-01-11 07:00:00,4.41,5.3495221488713005,3.624,0.031
2020-01-11 08:00:00,4.28,5.191826484618859,3.423,0.024
2020-01-11 09:00:00,4.55,5.519348248835468,2.852,0.01
2020-01-11 10:00:00,5.52,6.696000512872919,2.221,0.002
2020-01-11 11:00:00,5.52,6.696000512872919,1.202,0.0
2020-01-11 12:00:00,5.38,6.526174412908752,1.075,0.0
2020-01-11 13:00:00,5.17,6.271435262962499,1.617,0.0
2020-01-11 14:00:00,5.03,6.101609162998331,2.242,0.003
2020-01-11 15:00:00,4.97,6.028826548727973,2.539,0.005
2020-01-11 16:00:00,4.97,6.028826548727973,2.912,0.011
2020-01-11 17:00:00,4.97,6.028826548727973,3.551,0.028
2020-01-11 18:00:00,4.9,5.943913498745889,4.207,0.054
2020-01-11 19:00:00,4.9,5.943913498745889,4.406,0.064
2020-01-11 20:00:00,4.76,5.77408739878172,4.364,0.062
2020-01-11 21:00:00,4.55,5.519348248835468,4.26,0.057
2020-01-11 22:00:00,4.21,5.106913434636774,4.154,0.052
2020-01-11 23:00:00,3.1,3.7604350706351544,4.04,0.047
2020-01-12 00:00:00,2.34,2.838521956543955,3.978,0.044
2020-01-12 01:00:00,1.66,2.0136523281465664,3.902,0.041
2020-01-12 02:00:00,1.31,1.589087078236146,3.813,0.037
2020-01-12 03:00:00,1.03,1.2494348783078093,3.778,0.036
2020-01-12 04:00:00,1.03,1.2494348783078093,3.667,0.032
2020-01-12 05:00:00,1.52,1.8438262281823983,3.432,0.024
2020-01-12 06:00:00,2.48,3.0083480565081233,3.033,0.014
2020-01-12 07:00:00,3.79,4.597435134744269,2.564,0.006
2020-01-12 08:00:00,4.62,5.604261298817552,2.199,0.002
2020-01-12 09:00:00,4.97,6.028826548727973,1.891,0.001
2020-01-12 10:00:00,5.38,6.526174412908752,1.66,0.0
2020-01-12 11:00:00,5.24,6.356348312944584,1.629,0.0
2020-01-12 12:00:00,4.97,6.028826548727973,1.902,0.001
2020-01-12 13:00:00,4.62,5.604261298817552,2.422,0.004
2020-01-12 14:00:00,4.69,5.689174348799637,3.149,0.016
2020-01-12 15:00:00,5.1,6.186522212980415,3.94,0.042
2020-01-12 16:00:00,5.45,6.611087462890836,4.769,0.083
2020-01-12 17:00:00,5.45,6.611087462890836,5.618,0.141
2020-01-12 18:00:00,5.03,6.101609162998331,5.878,0.162
2020-01-12 19:00:00,4.55,5.519348248835468,5.605,0.14
2020-01-12 20:00:00,3.86,4.6823481847263535,5.308,0.119
2020-01-12 21:00:00,3.24,3.930261170599323,5.235,0.113
2020-01-12 22:00:00,2.48,3.0083480565081233,5.207,0.111
2020-01-12 23:00:00,1.79,2.1713479923990087,5.385,0.123
2020-01-13 00:00:00,1.1,1.3343479282898936,5.455,0.129
2020-01-13 01:00:00,0.34,0.4124348141986944,5.458,0.129
2020-01-13 02:00:00,0.48,0.5822609141628625,5.382,0.123
2020-01-13 03:00:00,1.17,1.4192609782719774,5.214,0.111
2020-01-13 04:00:00,2.28,2.765739342273597,4.991,0.097
2020-01-13 05:00:00,3.59,4.354826420509743,4.837,0.087
